3.2M	TEMP.ISPEC_210602231306_SPEC_T6
690K	TEMP.ISPEC_210602231308_SPEC_T3
 42M	TEMP.ISPEC_210602232751_SPEC_T8B
650K	TEMP.ISPEC_210602235622_SPEC_T2
 65K	TEMP.ISPEC_210603000029_SPEC_L1
 65K	TEMP.ISPEC_210603000255_SPEC_L2
506K	TEMP.ISPEC_210603000325_SPEC_F8B
4.2M	TEMP.ISPEC_210603001312_SPEC_T8
2.3M	TEMP.ISPEC_210603004107_SPEC_F5
138K	TEMP.ISPEC_210603004803_SPEC_L6
2.7M	TEMP.ISPEC_210603014347_SPEC_L8
 65K	TEMP.ISPEC_210603014353_SPEC_L4
138K	TEMP.ISPEC_210603014833_SPEC_L6
 65K	TEMP.ISPEC_210603015627_SPEC_T1
114K	TEMP.ISPEC_210603050558_SPEC_L5
 30M	TEMP.ISPEC_210603050603_SPEC_F8
402K	TEMP.ISPEC_210603051314_SPEC_F8B
698K	TEMP.ISPEC_210603051322_SPEC_T1
114K	TEMP.ISPEC_210603051338_SPEC_TT6
 65K	TEMP.ISPEC_210603052128_SPEC_L6
 65K	TEMP.ISPEC_210603052418_SPEC_T7
 65K	TEMP.ISPEC_210603053047_SPEC_L4
 65K	TEMP.ISPEC_210603053323_SPEC_L3
 65K	TEMP.ISPEC_210603054543_SPEC_L7
 65K	TEMP.ISPEC_210603054747_SPEC_F7
 65K	TEMP.ISPEC_210603054751_SPEC_L4
 65K	TEMP.ISPEC_210603055349_SPEC_F5
 65K	TEMP.ISPEC_210603055946_SPEC_F8B
 65K	TEMP.ISPEC_210603064430_SPEC_F2
402K	TEMP.ISPEC_210603070957_SPEC_F5
 65K	TEMP.ISPEC_210603071355_SPEC_TT6
2.8M	TEMP.ISPEC_210603071400_SPEC_T3
 65K	TEMP.ISPEC_210603073449_SPEC_L4
